Timestamp,PlaybackTime,VideoFrame,UnitQuaternion.x,UnitQuaternion.y,UnitQuaternion.z,UnitQuaternion.w,HmdPosition.x,HmdPosition.y,HmdPosition.z,EulerYaw,EulerPitch,EulerRoll,VelYaw,VelPitch,VelRoll
0.7429,0.000,0,-0.104288,0.044353,0.047743,0.992410,-0.080114,1.096938,-0.243879,4.5815,-12.1944,5.0189,0.5500,5.8114,-0.2150
0.7563,0.000,0,-0.103477,0.044407,0.047793,0.992490,-0.080138,1.096812,-0.243825,4.5905,-12.1015,5.0270,0.6728,6.9136,0.6060
0.7695,0.000,0,-0.102595,0.044470,0.047827,0.992577,-0.080155,1.096668,-0.243770,4.6012,-12.0006,5.0334,0.8073,7.6574,0.4838
0.7838,0.000,0,-0.101550,0.044613,0.047999,0.992670,-0.080167,1.096500,-0.243709,4.6202,-11.8818,5.0555,1.3309,8.3141,1.5479
0.7969,0.000,0,-0.100417,0.044704,0.048206,0.992771,-0.080146,1.096296,-0.243658,4.6330,-11.7529,5.0828,0.9822,9.8715,2.0866
0.8124,0.000,0,-0.099147,0.044915,0.048343,0.992882,-0.080122,1.096053,-0.243606,4.6614,-11.6086,5.1009,1.8316,9.3091,1.1704
0.8259,0.000,0,-0.097694,0.045113,0.048476,0.993011,-0.080098,1.095808,-0.243543,4.6890,-11.4432,5.1195,2.0393,12.2050,1.3761
0.8392,0.000,0,-0.096087,0.045414,0.048557,0.993150,-0.080084,1.095558,-0.243470,4.7301,-11.2604,5.1316,3.0861,13.7408,0.9055
0.8538,0.000,0,-0.094334,0.045731,0.048692,0.993297,-0.080047,1.095276,-0.243387,4.7729,-11.0611,5.1504,2.9499,13.7164,1.2941
0.8671,0.000,0,-0.092529,0.046108,0.048823,0.993443,-0.080003,1.094998,-0.243295,4.8232,-10.8563,5.1686,3.7765,15.3922,1.3653
0.8815,0.000,0,-0.090609,0.046519,0.048903,0.993597,-0.079931,1.094687,-0.243176,4.8784,-10.6382,5.1810,3.8332,15.1398,0.8632
0.8955,0.000,0,-0.088704,0.046962,0.049097,0.993738,-0.079854,1.094397,-0.243054,4.9361,-10.4227,5.2065,4.1097,15.3544,1.8185
0.9098,0.000,0,-0.086749,0.047427,0.049241,0.993882,-0.079779,1.094087,-0.242921,4.9972,-10.2013,5.2264,4.2799,15.5043,1.3906
0.9229,0.000,0,-0.084842,0.047882,0.049337,0.994020,-0.079709,1.093787,-0.242751,5.0575,-9.9852,5.2409,4.6115,16.5397,1.1094
0.9364,0.000,0,-0.082908,0.048453,0.049345,0.994155,-0.079659,1.093497,-0.242590,5.1322,-9.7662,5.2444,5.5158,16.1644,0.2568
0.9509,0.000,0,-0.080922,0.048972,0.049444,0.994288,-0.079553,1.093193,-0.242406,5.2002,-9.5415,5.2594,4.6841,15.4685,1.0368
0.9637,0.000,0,-0.078920,0.049421,0.049597,0.994419,-0.079433,1.092895,-0.242200,5.2597,-9.3149,5.2817,4.6394,17.6786,1.7400
0.9792,0.000,0,-0.076857,0.049986,0.049805,0.994542,-0.079338,1.092585,-0.241998,5.3325,-9.0823,5.3099,4.6955,15.0039,1.8192
0.9928,0.000,0,-0.074761,0.050504,0.050073,0.994662,-0.079189,1.092273,-0.241789,5.3996,-8.8461,5.3459,4.9537,17.4324,2.6563
1.0063,0.000,0,-0.072650,0.051118,0.050267,0.994778,-0.079076,1.091948,-0.241572,5.4785,-8.6083,5.3728,5.8248,17.5473,1.9839
1.0200,0.000,0,-0.070470,0.051679,0.050532,0.994892,-0.078933,1.091616,-0.241350,5.5513,-8.3629,5.4091,5.3194,17.9509,2.6571
1.0331,0.000,0,-0.068217,0.052317,0.050786,0.995003,-0.078810,1.091271,-0.241123,5.6335,-8.1095,5.4442,6.2935,19.3995,2.6855
1.0476,0.000,0,-0.065896,0.052883,0.050993,0.995119,-0.078671,1.090920,-0.240889,5.7081,-7.8478,5.4750,5.1389,18.0168,2.1208
1.0616,0.000,0,-0.063526,0.053514,0.051161,0.995230,-0.078549,1.090580,-0.240668,5.7909,-7.5807,5.5015,5.8997,19.0304,1.8904
1.0761,0.000,0,-0.061111,0.054173,0.051297,0.995339,-0.078426,1.090246,-0.240472,5.8775,-7.3084,5.5248,6.0106,18.9004,1.6143
1.0900,0.000,0,-0.058834,0.054887,0.051425,0.995430,-0.078287,1.089924,-0.240269,5.9700,-7.0522,5.5465,6.6443,18.4079,1.5600
1.1029,0.000,0,-0.056708,0.055666,0.051570,0.995503,-0.078156,1.089635,-0.240046,6.0692,-6.8140,5.5692,7.6645,18.4127,1.7529
1.1176,0.000,0,-0.054690,0.056414,0.051818,0.995561,-0.078006,1.089376,-0.239826,6.1636,-6.5887,5.6038,6.4499,15.3813,2.3652
1.1310,0.000,0,-0.052756,0.057204,0.052032,0.995609,-0.077870,1.089135,-0.239596,6.2628,-6.3730,5.6343,7.3872,16.0591,2.2701
1.1464,0.000,0,-0.050816,0.057995,0.052272,0.995652,-0.077745,1.088868,-0.239376,6.3622,-6.1570,5.6680,6.4601,14.0437,2.1901
1.1588,0.000,0,-0.048795,0.058732,0.052466,0.995699,-0.077636,1.088592,-0.239143,6.4560,-5.9312,5.6977,7.5356,18.1422,2.3889
1.1730,0.000,0,-0.046708,0.059557,0.052498,0.995749,-0.077541,1.088308,-0.238898,6.5615,-5.6973,5.7091,7.4453,16.5151,0.8027
1.1869,0.000,0,-0.044560,0.060526,0.052489,0.995789,-0.077393,1.088017,-0.238667,6.6839,-5.4570,5.7157,8.7968,17.2697,0.4758
1.2006,0.000,0,-0.042396,0.061694,0.052415,0.995816,-0.077219,1.087714,-0.238437,6.8297,-5.2156,5.7146,10.6672,17.6540,-0.0840
1.2152,0.000,0,-0.040061,0.063048,0.052474,0.995825,-0.077006,1.087407,-0.238212,6.9972,-4.9568,5.7295,11.4326,17.6708,1.0187
1.2289,0.000,0,-0.037680,0.064557,0.052690,0.995809,-0.076764,1.087063,-0.237980,7.1820,-4.6947,5.7628,13.5163,19.1674,2.4333
1.2430,0.000,0,-0.035144,0.066112,0.053069,0.995780,-0.076494,1.086723,-0.237766,7.3724,-4.4167,5.8166,13.4467,19.6358,3.7999
1.2566,0.000,0,-0.032468,0.067686,0.053508,0.995742,-0.076214,1.086375,-0.237552,7.5656,-4.1233,5.8792,14.2621,21.6487,4.6197
1.2704,0.000,0,-0.029807,0.069424,0.053812,0.995689,-0.075965,1.085993,-0.237348,7.7785,-3.8319,5.9265,15.4321,21.1261,3.4273
1.2841,0.000,0,-0.027090,0.071209,0.054106,0.995625,-0.075708,1.085622,-0.237154,7.9974,-3.5344,5.9741,16.0079,21.7589,3.4842
1.2979,0.000,0,-0.024506,0.073157,0.054360,0.995536,-0.075453,1.085244,-0.236958,8.2346,-3.2531,6.0167,17.2023,20.3938,3.0877
1.3124,0.000,0,-0.022070,0.075152,0.054519,0.995436,-0.075116,1.084894,-0.236736,8.4769,-2.9883,6.0483,16.6794,18.2311,2.1775
